Time Window：2024-12-03 14:55:39 - 2024-12-03 14:56:39, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 14:56:09 - 2024-12-03 14:57:09, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 14:56:39 - 2024-12-03 14:57:39, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 14:57:09 - 2024-12-03 14:58:09, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 14:57:39 - 2024-12-03 14:58:39, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 14:58:09 - 2024-12-03 14:59:09, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 14:58:39 - 2024-12-03 14:59:39, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 14:59:09 - 2024-12-03 15:00:09, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 14:59:39 - 2024-12-03 15:00:39, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 15:00:09 - 2024-12-03 15:01:09, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 15:00:39 - 2024-12-03 15:01:39, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 15:01:09 - 2024-12-03 15:02:09, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 15:01:39 - 2024-12-03 15:02:39, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 15:02:09 - 2024-12-03 15:03:09, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 15:02:39 - 2024-12-03 15:03:39, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 15:03:09 - 2024-12-03 15:04:09, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 15:03:39 - 2024-12-03 15:04:39, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 15:04:09 - 2024-12-03 15:05:09, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 15:04:39 - 2024-12-03 15:05:39, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 15:05:09 - 2024-12-03 15:06:09, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 15:05:39 - 2024-12-03 15:06:39, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 15:06:09 - 2024-12-03 15:07:09, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 15:06:39 - 2024-12-03 15:07:39, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 15:07:09 - 2024-12-03 15:08:09, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 15:07:39 - 2024-12-03 15:08:39, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 15:08:09 - 2024-12-03 15:09:09, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 15:08:39 - 2024-12-03 15:09:39, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 15:09:09 - 2024-12-03 15:10:09, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 15:09:39 - 2024-12-03 15:10:39, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 15:10:09 - 2024-12-03 15:11:09, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 15:10:39 - 2024-12-03 15:11:39, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 15:11:09 - 2024-12-03 15:12:09, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 15:11:39 - 2024-12-03 15:12:39, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 15:12:09 - 2024-12-03 15:13:09, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 15:12:39 - 2024-12-03 15:13:39, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 15:13:09 - 2024-12-03 15:14:09, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 15:13:39 - 2024-12-03 15:14:39, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 15:14:09 - 2024-12-03 15:15:09, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 15:14:39 - 2024-12-03 15:15:39, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 15:15:09 - 2024-12-03 15:16:09, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 15:15:39 - 2024-12-03 15:16:39, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 15:16:09 - 2024-12-03 15:17:09, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 15:16:39 - 2024-12-03 15:17:39, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 15:17:09 - 2024-12-03 15:18:09, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 15:17:39 - 2024-12-03 15:18:39, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 15:18:09 - 2024-12-03 15:19:09, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 15:18:39 - 2024-12-03 15:19:39, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 15:19:09 - 2024-12-03 15:20:09, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 15:19:39 - 2024-12-03 15:20:39, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 15:20:09 - 2024-12-03 15:21:09, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 15:20:39 - 2024-12-03 15:21:39, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 15:21:09 - 2024-12-03 15:22:09, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
